iter	Passed	Remaining
0	16	16548
1	32	16423
2	49	16292
3	65	16274
4	81	16129
5	97	16140
6	113	16068
7	128	15962
8	144	15910
9	160	15852
10	175	15792
11	191	15770
12	207	15785
13	223	15736
14	238	15693
15	253	15615
16	269	15592
17	285	15598
18	301	15578
19	318	15595
20	334	15573
21	350	15561
22	365	15541
23	381	15517
24	397	15505
25	406	15221
26	422	15224
27	438	15219
28	453	15186
29	469	15178
30	485	15161
31	500	15134
32	515	15118
33	531	15098
34	546	15078
35	562	15049
36	577	15022
37	588	14908
38	611	15079
39	628	15073
40	639	14963
41	655	14946
42	670	14929
43	686	14909
44	702	14898
45	717	14870
46	733	14874
47	748	14849
48	764	14828
49	779	14810
50	795	14802
51	810	14777
52	829	14820
53	850	14908
54	872	14995
55	895	15093
56	919	15211
57	941	15294
58	965	15396
59	989	15497
60	1012	15583
61	1034	15657
62	1057	15734
63	1083	15842
64	1109	15953
65	1132	16029
66	1155	16093
67	1177	16138
68	1200	16200
69	1223	16250
70	1246	16315
71	1273	16415
72	1298	16489
73	1323	16556
74	1346	16603
75	1368	16643
76	1392	16687
77	1414	16717
78	1435	16740
79	1458	16772
80	1483	16830
81	1507	16872
82	1529	16894
83	1551	16921
84	1574	16947
85	1591	16913
86	1614	16938
87	1636	16956
88	1658	16974
89	1680	16988
90	1702	17005
91	1725	17029
92	1747	17042
93	1769	17055
94	1779	16950
95	1801	16963
96	1821	16960
97	1843	16965
98	1863	16961
99	1884	16958
100	1905	16964
101	1927	16969
102	1948	16968
103	1968	16963
104	1989	16959
105	2010	16956
106	2031	16954
107	2052	16955
108	2073	16953
109	2095	16958
110	2116	16952
111	2137	16947
112	2158	16945
113	2179	16938
114	2200	16932
115	2222	16936
116	2245	16948
117	2269	16961
118	2292	16968
119	2315	16978
120	2338	16985
121	2361	16992
122	2383	16993
123	2405	16992
124	2428	17001
125	2451	17007
126	2473	17005
127	2496	17007
128	2518	17003
129	2540	17004
130	2564	17010
131	2586	17009
132	2609	17012
133	2632	17015
134	2657	17027
135	2679	17020
136	2701	17020
137	2725	17026
138	2748	17026
139	2772	17029
140	2795	17030
141	2818	17030
142	2843	17038
143	2867	17045
144	2890	17041
145	2913	17041
146	2936	17039
147	2959	17039
148	2985	17049
149	3009	17053
150	3031	17046
151	3054	17043
152	3077	17039
153	3101	17038
154	3125	17036
155	3147	17027
156	3171	17029
157	3193	17017
158	3217	17015
159	3239	17005
160	3263	17007
161	3288	17011
162	3311	17007
163	3336	17008
164	3359	17002
165	3383	16999
166	3406	16991
167	3428	16981
168	3452	16974
169	3473	16961
170	3499	16965
171	3520	16945
172	3540	16925
173	3561	16905
174	3582	16889
175	3605	16879
176	3625	16858
177	3645	16836
178	3667	16821
179	3688	16801
180	3708	16779
181	3728	16758
182	3749	16737
183	3769	16717
184	3791	16703
185	3815	16696
186	3837	16685
187	3860	16676
188	3884	16667
189	3906	16654
190	3930	16647
191	3953	16636
192	3978	16633
