,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Outlet_Sales,High,Medium,Small,Tier 1,Tier 2,Tier 3
0,FDA15,9.3,0,0.016047301,1,249.8092,1,1999,1,3735.138,0,1,0,1,0,0
1,DRC01,5.92,1,0.019278216,2,48.2692,2,2009,2,443.4228,0,1,0,0,0,1
2,FDN15,17.5,0,0.016760075,3,141.618,1,1999,1,2097.27,0,1,0,1,0,0
3,FDX07,19.2,1,0.0,4,182.095,3,1998,3,732.38,0,1,0,0,0,1
4,NCD19,8.93,0,0.0,5,53.8614,4,1987,1,994.7052,1,0,0,0,0,1
5,FDP36,10.395,1,0.0,6,51.4008,2,2009,2,556.6088,0,1,0,0,0,1
6,FDO10,13.65,1,0.012741089,7,57.6588,4,1987,1,343.5528,1,0,0,0,0,1
7,FDP10,17.6,0,0.127469857,7,107.7622,5,1985,4,4022.7636,0,1,0,0,0,1
8,FDH17,16.2,1,0.016687114,8,96.9726,6,2002,1,1076.5986,0,1,0,0,1,0
9,FDU28,19.2,1,0.09444959,8,187.8214,7,2007,1,4710.535,0,1,0,0,1,0
10,FDY07,11.8,0,0.0,4,45.5402,1,1999,1,1516.0266,0,1,0,1,0,0
11,FDA03,18.5,1,0.045463773,1,144.1102,8,1997,1,2187.153,0,0,1,1,0,0
12,FDX32,15.1,1,0.1000135,4,145.4786,1,1999,1,1589.2646,0,1,0,1,0,0
13,FDS46,17.6,1,0.047257328,7,119.6782,8,1997,1,2145.2076,0,0,1,1,0,0
14,FDF32,16.35,0,0.0680243,4,196.4426,4,1987,1,1977.426,1,0,0,0,0,1
15,FDP49,9.0,1,0.069088961,9,56.3614,8,1997,1,1547.3192,0,0,1,1,0,0
16,NCB42,11.8,0,0.008596051,10,115.3492,2,2009,2,1621.8888,0,1,0,0,0,1
17,FDP49,9.0,1,0.069196376,9,54.3614,1,1999,1,718.3982,0,1,0,1,0,0
18,DRI11,17.6,0,0.034237682,11,113.2834,5,1985,4,2303.668,0,1,0,0,0,1
19,FDU02,13.35,0,0.10249212,1,230.5352,9,2004,1,2748.4224,0,0,1,0,1,0
20,FDN22,18.85,1,0.138190277,7,250.8724,4,1987,1,3775.086,1,0,0,0,0,1
21,FDW12,17.6,1,0.035399923,6,144.5444,5,1985,4,4064.0432,0,1,0,0,0,1
22,NCB30,14.6,0,0.025698134,5,196.5084,9,2004,1,1587.2672,0,0,1,0,1,0
23,FDC37,17.6,0,0.057556998,6,107.6938,10,1985,3,214.3876,0,0,1,1,0,0
24,FDR28,13.85,1,0.025896485,8,165.021,8,1997,1,4078.025,0,0,1,1,0,0
25,NCD06,13.0,0,0.099887103,5,45.906,7,2007,1,838.908,0,1,0,0,1,0
26,FDV10,7.645,1,0.066693437,7,42.3112,9,2004,1,1065.28,0,0,1,0,1,0
27,DRJ59,11.65,0,0.019356132,11,39.1164,4,1987,1,308.9312,1,0,0,0,0,1
28,FDE51,5.925,1,0.161466534,1,45.5086,3,1998,3,178.4344,0,1,0,0,0,1
29,FDC14,17.6,1,0.072221801,12,43.6454,10,1985,3,125.8362,0,0,1,1,0,0
30,FDV38,19.25,0,0.170348551,1,55.7956,3,1998,3,163.7868,0,1,0,0,0,1
31,NCS17,18.6,0,0.080829372,10,96.4436,2,2009,2,2741.7644,0,1,0,0,0,1
32,FDP33,18.7,0,0.0,7,256.6672,2,2009,2,3068.0064,0,1,0,0,0,1
33,FDO23,17.85,0,0.0,13,93.1436,6,2002,1,2174.5028,0,1,0,0,1,0
34,DRH01,17.5,0,0.097904029,2,174.8738,8,1997,1,2085.2856,0,0,1,1,0,0
35,NCX29,10.0,0,0.089291137,10,146.7102,1,1999,1,3791.0652,0,1,0,1,0,0
36,FDV20,17.6,1,0.059511812,4,128.0678,5,1985,4,2797.6916,0,1,0,0,0,1
37,DRZ11,8.85,1,0.113123893,2,122.5388,2,2009,2,1609.9044,0,1,0,0,0,1
