iter	RMSE
0	1669.972509
1	1620.918772
2	1576.153418
3	1535.327086
4	1496.34387
5	1460.409449
6	1429.881267
7	1399.112204
8	1371.635562
9	1345.544227
10	1322.339776
11	1301.46332
12	1282.751357
13	1265.450907
14	1247.996351
15	1233.520636
16	1221.032572
17	1207.923874
18	1196.119338
19	1186.145612
20	1176.239844
21	1169.03613
22	1161.09267
23	1154.174904
24	1148.384974
25	1143.645426
26	1138.557261
27	1133.236347
28	1128.672148
29	1124.893394
30	1121.109928
31	1118.009674
32	1115.075521
33	1111.925833
34	1109.585582
35	1107.115764
36	1104.787802
37	1102.951179
38	1100.729455
39	1098.980566
40	1097.782785
41	1096.235965
42	1094.868065
43	1093.474537
44	1092.327664
45	1091.336918
46	1090.175575
47	1089.197493
48	1088.260515
49	1087.323666
50	1086.664766
51	1086.11043
52	1085.220459
53	1084.619627
54	1084.071532
55	1083.258113
56	1082.756154
57	1082.435603
58	1081.94282
59	1081.427605
60	1080.900357
61	1080.617663
62	1080.114878
63	1079.857974
64	1079.70679
65	1079.234303
66	1078.711243
67	1078.305373
68	1078.067653
69	1077.72155
70	1077.442022
71	1077.186826
72	1076.881346
73	1076.624149
74	1076.486324
75	1076.289517
76	1075.950157
77	1075.688381
78	1075.510969
79	1074.88114
80	1074.636804
81	1074.455426
82	1074.161813
83	1073.896158
84	1073.751526
85	1073.444127
86	1073.158498
87	1072.943389
88	1072.589848
89	1072.371745
90	1072.194532
91	1071.992727
92	1071.404306
93	1071.223263
94	1071.154831
95	1070.986906
96	1070.749514
97	1070.464069
98	1070.318033
99	1070.072187
100	1069.767499
101	1069.59492
102	1069.400618
103	1069.218809
104	1068.975138
105	1068.893181
106	1068.533293
107	1068.155813
108	1067.894451
109	1067.517673
110	1067.388067
111	1067.197102
112	1067.054643
113	1066.868535
114	1066.602798
115	1066.371377
116	1066.195312
117	1065.91843
118	1065.637525
119	1065.51083
120	1065.343739
121	1065.091437
122	1064.878393
123	1064.679949
124	1064.467853
125	1064.328502
126	1064.186035
127	1063.863954
128	1063.73623
129	1063.517367
130	1063.378235
131	1063.198119
132	1062.939941
133	1062.743725
134	1062.641512
135	1062.478162
136	1062.381958
137	1061.915108
138	1061.651669
139	1061.494086
140	1061.352694
141	1061.166737
142	1061.019015
143	1060.83323
144	1060.666565
145	1060.489594
146	1060.317821
147	1060.170325
148	1059.980107
149	1059.833246
150	1059.659424
151	1059.449457
152	1059.28578
153	1059.166293
154	1058.908173
155	1058.758547
156	1058.594025
157	1058.438695
158	1058.28931
159	1058.134093
160	1057.83155
161	1057.56716
162	1057.421054
163	1057.214185
164	1057.054136
165	1056.813547
166	1056.649119
167	1056.457485
168	1056.235552
169	1056.131219
170	1055.956329
171	1055.786149
172	1055.65849
173	1055.439194
174	1055.249271
175	1055.095631
176	1054.906269
177	1054.730199
178	1054.530039
179	1054.338877
180	1054.140458
181	1054.005543
182	1053.790817
183	1053.558658
184	1053.331462
185	1053.113767
186	1052.971356
187	1052.825952
188	1052.672684
189	1052.443334
190	1052.256379
191	1052.093262
192	1051.906922
193	1051.644433
194	1051.475638
195	1051.355964
196	1051.170944
197	1051.057943
198	1050.835367
199	1050.612978
200	1050.404907
201	1050.194814
202	1050.047528
203	1049.820444
204	1049.670193
205	1049.48136
206	1049.287962
207	1049.106692
208	1048.970899
209	1048.813918
210	1048.684543
211	1048.464834
212	1048.304646
213	1048.170754
214	1048.043339
215	1047.794756
216	1047.6175
217	1047.498239
218	1047.33107
219	1047.17609
220	1046.979685
221	1046.739897
222	1046.525471
223	1046.389935
224	1046.19555
225	1046.020737
226	1045.897937
227	1045.699863
228	1045.618537
229	1045.501014
230	1045.382154
231	1045.29671
232	1045.214156
233	1045.116406
234	1045.036164
235	1044.965066
236	1044.757107
237	1044.639953
238	1044.565137
239	1044.493511
240	1044.376691
241	1044.303065
242	1044.235612
243	1043.967925
244	1043.747188
245	1043.615657
246	1043.455118
247	1043.194144
248	1043.104507
249	1042.785211
250	1042.576304
251	1042.431287
252	1042.272757
253	1042.210525
254	1042.096124
255	1041.981256
256	1041.885278
257	1041.731201
258	1041.578683
259	1041.400438
260	1041.193641
261	1041.052952
262	1040.814226
263	1040.615098
264	1040.480714
265	1040.266721
266	1040.106259
267	1039.873274
268	1039.690772
269	1039.483665
270	1039.309276
271	1039.181343
272	1039.008276
273	1038.887132
274	1038.777637
275	1038.53035
276	1038.386187
277	1038.132372
278	1037.865276
279	1037.644402
280	1037.51036
281	1037.300181
282	1037.10694
283	1037.002929
284	1036.897879
285	1036.787475
286	1036.670507
287	1036.594983
288	1036.503103
289	1036.352374
290	1036.185816
291	1036.004051
292	1035.948206
293	1035.71064
294	1035.569397
295	1035.428166
296	1035.2178
297	1035.045192
298	1034.857835
299	1034.798098
300	1034.593891
301	1034.52493
302	1034.325632
303	1034.263151
304	1034.0464
305	1033.832979
306	1033.716687
307	1033.560089
308	1033.431323
309	1033.321808
310	1033.188615
311	1033.061923
312	1032.989362
313	1032.873674
314	1032.668837
315	1032.574508
316	1032.41561
317	1032.301936
318	1032.180687
319	1031.982333
320	1031.753039
321	1031.636158
322	1031.468571
323	1031.231429
324	1031.022006
325	1030.82616
326	1030.590968
327	1030.457663
328	1030.363084
329	1030.132173
330	1029.96369
331	1029.806952
332	1029.650182
333	1029.44855
334	1029.256867
335	1029.040037
336	1028.8423
337	1028.650284
338	1028.551027
339	1028.460406
340	1028.284517
341	1028.13525
342	1027.978455
343	1027.75004
344	1027.578229
345	1027.425757
346	1027.303007
347	1027.170979
348	1027.036964
349	1026.895266
350	1026.743421
351	1026.622526
352	1026.428245
353	1026.279582
354	1026.047799
355	1025.907071
356	1025.709666
357	1025.548212
358	1025.408174
359	1025.228907
360	1025.072425
361	1024.944557
362	1024.809634
363	1024.696047
364	1024.462779
365	1024.302072
366	1024.119354
367	1023.98566
368	1023.85925
369	1023.724854
370	1023.661793
371	1023.527403
372	1023.350389
373	1023.167002
374	1023.017456
375	1022.917384
376	1022.760903
377	1022.662713
378	1022.481103
379	1022.377188
380	1022.217784
381	1022.033671
382	1021.857196
383	1021.70928
384	1021.63212
385	1021.528483
386	1021.358647
387	1021.185069
388	1021.122978
389	1020.896139
390	1020.760528
391	1020.580947
392	1020.420899
393	1020.239317
394	1020.144337
395	1019.996472
396	1019.870359
397	1019.725782
398	1019.632762
399	1019.434403
400	1019.277419
401	1019.155257
402	1019.094922
403	1018.984383
404	1018.807877
405	1018.701033
406	1018.521828
407	1018.312753
408	1018.221041
409	1018.089272
410	1017.94987
411	1017.850297
412	1017.657057
413	1017.593604
414	1017.495687
415	1017.439623
416	1017.336447
417	1017.119857
418	1016.976168
419	1016.912457
420	1016.824589
421	1016.66744
422	1016.587049
423	1016.515998
424	1016.352452
425	1016.292937
426	1016.155371
427	1016.058944
428	1015.988318
429	1015.91979
430	1015.774445
431	1015.681129
432	1015.49689
433	1015.432962
434	1015.29984
435	1015.212552
436	1015.045025
437	1014.956327
438	1014.838613
439	1014.739327
440	1014.600039
441	1014.555558
442	1014.39088
443	1014.191074
444	1014.004106
445	1013.951293
446	1013.725628
447	1013.542862
448	1013.417187
449	1013.307949
450	1013.15101
451	1013.024559
452	1012.888203
453	1012.774868
454	1012.695481
455	1012.604807
456	1012.458021
457	1012.369842
458	1012.235852
459	1012.062816
460	1011.932864
461	1011.810371
462	1011.689534
463	1011.615267
464	1011.507795
465	1011.406043
466	1011.240063
467	1011.047505
468	1010.959245
469	1010.848145
470	1010.756937
471	1010.552597
472	1010.427137
473	1010.337578
474	1010.259048
475	1010.157273
476	1010.006162
477	1009.855998
478	1009.773926
479	1009.553645
480	1009.50796
481	1009.408477
482	1009.307185
483	1009.206753
484	1009.162554
485	1009.049721
486	1008.985054
487	1008.811606
488	1008.678537
489	1008.556726
490	1008.446506
491	1008.316065
492	1008.198731
493	1008.025659
494	1007.882576
495	1007.746356
496	1007.606284
497	1007.494947
498	1007.329546
499	1007.256275
500	1007.129146
501	1006.921955
502	1006.753493
503	1006.606969
504	1006.45978
505	1006.307866
506	1006.120379
507	1006.012596
508	1005.923625
509	1005.791081
510	1005.590403
511	1005.493893
512	1005.29402
513	1005.165471
514	1005.047303
515	1004.914039
516	1004.849798
517	1004.67408
518	1004.570165
519	1004.497263
520	1004.386765
521	1004.183869
522	1003.995004
523	1003.879186
524	1003.739351
525	1003.585343
526	1003.399791
527	1003.280892
528	1003.173504
529	1002.993902
530	1002.885883
531	1002.809602
532	1002.675057
533	1002.604284
534	1002.467439
535	1002.28572
536	1002.149794
537	1002.019637
538	1001.793566
539	1001.668021
540	1001.591219
541	1001.397269
542	1001.254218
543	1001.126975
544	1001.017922
545	1000.877142
546	1000.777468
547	1000.655961
548	1000.467856
549	1000.390958
550	1000.183018
551	1000.129887
552	1000.004059
553	999.866255
554	999.7701412
555	999.5956493
556	999.5014997
557	999.3950385
558	999.2476335
559	999.1216321
560	999.057332
561	998.8774885
562	998.7670636
563	998.6564127
564	998.5685006
565	998.4011348
566	998.2734286
567	998.1185932
568	998.0445826
569	997.9769667
570	997.8402843
571	997.7089778
572	997.6626476
573	997.5907995
574	997.476917
575	997.3173738
576	997.2712044
577	997.1953209
578	997.0645669
579	996.9500957
580	996.7755472
581	996.6569362
582	996.5868055
583	996.4713244
584	996.275387
585	996.1818119
586	996.1383381
587	996.0813669
588	996.0196238
589	995.9501178
590	995.8818191
591	995.8414657
592	995.6743182
593	995.5336041
594	995.4940564
595	995.3439937
596	995.217283
597	995.0451175
598	994.887916
599	994.7533192
600	994.6151335
601	994.4970083
602	994.3540578
603	994.2469648
604	994.1723752
605	994.0822758
606	993.872314
607	993.7908966
608	993.6826111
609	993.5316227
610	993.3496111
611	993.231533
612	993.1241865
613	993.0147732
614	992.9544364
615	992.8072194
616	992.6634277
617	992.5666441
618	992.4565374
619	992.3616794
620	992.2708886
621	992.0778568
622	991.9017142
623	991.7850755
624	991.6626818
625	991.4788077
626	991.2826689
627	991.1368912
628	991.0446082
629	990.974649
630	990.8557855
631	990.7610766
632	990.6479534
633	990.5340193
634	990.394437
635	990.2905031
636	990.1642651
637	990.0760439
638	989.9526652
639	989.8478818
640	989.7122738
641	989.5873924
642	989.4030149
643	989.2271343
644	989.1203979
645	988.9732594
646	988.8440861
647	988.7128914
648	988.5994276
649	988.514223
650	988.4375817
651	988.3109692
652	988.1378599
653	987.9791154
654	987.8190689
655	987.6867834
656	987.5745894
657	987.4656681
658	987.3285764
659	987.1417209
660	986.9791198
661	986.8383757
662	986.7678433
663	986.638596
664	986.5189623
665	986.3735736
666	986.276454
667	986.1537477
668	986.0983427
669	985.9917373
670	985.8065165
671	985.7071253
672	985.5998612
673	985.4330973
674	985.340598
675	985.2142564
676	985.0827459
677	984.9737757
678	984.9096294
679	984.7970416
680	984.7122375
681	984.555142
682	984.3959441
683	984.2196155
684	984.1134145
685	984.0044026
686	983.8896441
687	983.7873338
688	983.6642054
689	983.5387699
690	983.4208432
691	983.2664073
692	983.1403464
693	983.1033464
694	982.8823549
695	982.7837503
696	982.7017461
697	982.6441376
698	982.4567887
699	982.3018491
700	982.2346499
701	981.9958252
702	981.8102133
703	981.624923
704	981.5126428
705	981.4202062
706	981.3326977
707	981.17836
708	981.1210783
709	981.0210972
710	980.9504534
711	980.8446237
712	980.7827833
713	980.7257532
714	980.6223284
715	980.5022916
716	980.3072406
717	980.1876144
718	980.0633918
719	979.9153668
720	979.8518908
721	979.8041522
722	979.6884298
723	979.6114298
724	979.5089598
725	979.3904049
726	979.2615127
727	979.0862622
728	978.9879127
729	978.8388989
730	978.6601197
731	978.604683
732	978.5264618
733	978.4005939
734	978.3115051
735	978.1587212
736	978.0266809
737	977.927232
738	977.8153972
739	977.7082022
740	977.6258614
741	977.5369546
742	977.4440591
743	977.2877169
744	977.1340887
745	976.9756568
746	976.8739912
747	976.8040234
748	976.6744433
749	976.6146651
750	976.523935
751	976.3945609
752	976.3301937
753	976.2350585
754	976.1385778
755	976.0237309
756	975.9349522
757	975.8766355
758	975.8044399
759	975.6278243
760	975.5602485
761	975.4989337
762	975.4200581
763	975.3582175
764	975.2770287
765	975.1619558
766	975.0809463
767	975.0064255
768	974.8657145
769	974.7459761
770	974.6093396
771	974.5214287
772	974.4571342
773	974.3658153
774	974.1850186
775	974.1266477
776	974.0459513
777	973.9841614
778	973.8259389
779	973.6810906
780	973.6238526
781	973.4235697
782	973.3594339
783	973.2221532
784	973.0972594
785	972.9040525
786	972.8181408
787	972.7754241
788	972.7168526
789	972.6520267
790	972.5288147
791	972.4105606
792	972.3201461
793	972.1799407
794	972.0937941
795	972.0586784
796	971.9318585
797	971.8435207
798	971.6802527
799	971.6284293
800	971.5136681
801	971.3880125
802	971.3032165
803	971.1567394
804	971.0357837
805	970.8548826
806	970.7088255
807	970.5651391
808	970.4773477
809	970.3911328
810	970.2971721
811	970.2010323
812	970.0192833
813	969.9815382
814	969.8693623
815	969.699663
816	969.4827334
817	969.4204779
818	969.331723
819	969.2507683
820	969.2169433
821	969.1058452
822	968.9889421
823	968.9544348
824	968.7513885
825	968.6411036
826	968.5435715
827	968.4787654
828	968.3893065
829	968.3376918
830	968.26067
831	968.1694936
832	968.082722
833	968.0103479
834	967.9213291
835	967.8469558
836	967.6822157
837	967.6211167
838	967.5704366
839	967.4846891
840	967.4271855
841	967.34082
842	967.2972697
843	967.2578417
844	967.1891753
845	967.0968642
846	967.0587823
847	966.9421766
848	966.7759304
849	966.6317974
850	966.5915716
851	966.5189327
852	966.3564933
853	966.2624156
854	966.169901
855	966.1292412
856	965.9825552
857	965.8897553
858	965.8330381
859	965.7970673
860	965.6784569
861	965.6199557
862	965.4870972
863	965.4162862
864	965.3123024
865	965.1987935
866	965.1407581
867	965.1053214
868	965.0478049
869	965.0080745
870	964.9623673
871	964.9017521
872	964.8661563
873	964.8300679
874	964.7951919
875	964.751047
876	964.714682
877	964.6633008
878	964.6298887
879	964.5806642
880	964.524027
881	964.5003943
882	964.321069
883	964.2454151
884	964.0698279
885	964.0184954
886	963.9385555
887	963.8624911
888	963.7363167
889	963.6205535
890	963.5901069
891	963.5622802
892	963.5121145
893	963.4412163
894	963.3265032
895	963.2528846
896	963.1760605
897	963.0669382
898	962.8892794
899	962.8267642
900	962.6994452
901	962.6468207
902	962.5748805
903	962.5252523
904	962.4740289
905	962.3647611
906	962.2728413
907	962.1864155
908	962.062891
909	961.8254868
910	961.7378065
911	961.6855961
912	961.5570595
913	961.3806923
914	961.3261407
915	961.2687524
916	961.0909939
917	960.9901112
918	960.9413069
919	960.880725
920	960.7565507
921	960.6255165
922	960.4952462
923	960.4477248
924	960.3467968
925	960.1752432
926	960.0864688
927	960.0368047
928	959.9580075
929	959.840261
930	959.7518454
931	959.6694647
932	959.2248153
933	959.1215081
934	958.9372209
935	958.8419158
936	958.7382715
937	958.6727119
938	958.565062
939	958.493246
940	958.4118832
941	958.371208
942	958.2778013
943	958.1964882
944	958.1363849
945	957.9973097
946	957.9112278
947	957.8081263
948	957.6534505
949	957.4766815
950	957.2931899
951	957.2372274
952	957.184311
953	957.090421
954	957.0365814
955	956.9394899
956	956.872625
957	956.7124815
958	956.5951112
959	956.5341624
960	956.4831949
961	956.401006
962	956.3399058
963	956.2594462
964	956.1673639
965	956.0168617
966	955.9263019
967	955.8344829
968	955.7266199
969	955.6081243
970	955.5184874
971	955.3977933
972	955.333869
973	955.2546387
974	955.1776741
975	955.1239691
976	954.9868611
977	954.8981219
978	954.7815392
979	954.6653243
980	954.5369142
981	954.4824332
982	954.432617
983	954.2673502
984	954.237677
985	954.1639689
986	954.0480805
987	954.0007691
988	953.9166688
989	953.8684995
990	953.8271529
991	953.677144
992	953.5334449
993	953.4421184
994	953.3679528
995	953.2394836
996	953.0930351
997	952.9439304
998	952.7921223
999	952.6665688
